country,average_temperature
United Arab Emirates,32.15
Niger,31.42
Sudan,31.36
Chad,31.31
Burkina Faso,30.98
Gambia,30.92
Senegal,30.78
Oman,29.8
Benin,29.71
Togo,29.48
Ghana,29.42
India,29.29
Qatar,29.07
Nigeria,28.96
Bahrain,28.91
Nepal,28.78
Ivory Coast,28.63
Saudi Arabia,28.51
Singapore,28.48
Timor-Leste,28.27
El Salvador,28.2
Bangladesh,28.04
Kuwait,28
Guinea,27.83
Jamaica,27.71
Sri Lanka,27.7
Equatorial Guinea,27.66
Paraguay,27.61
Panama,27.53
Brazil,27.48
Cambodia,27.21
Seychelles,27.19
Republic of the Congo,27.07
Philippines,27.01
Indonesia,26.94
Thailand,26.93
Zambia,26.75
Angola,26.69
Gabon,26.58
Uganda,26.52
Brunei Darussalam,26.51
Costa Rica,26.48
Cameroon,26.45
Cuba,26.42
Fiji,26.42
Colombia,26.41
Nicaragua,26.39
Egypt,26.31
Algeria,26.3
Malaysia,26.14
Botswana,26.06
Belize,25.71
Guyana,25.69
Suriname,25.55
Ethiopia,25.42
Zimbabwe,25.37
Namibia,25.35
Mozambique,25.22
Burundi,25.13
Bolivia,25.11
Mauritius,25
Kenya,24.82
Ecuador,24.81
Dominican Republic,24.77
Vietnam,24.66
Malawi,24.66
Papua New Guinea,24.53
Iraq,24.37
Laos,24.36
Australia,24.35
Honduras,24.22
Myanmar,24.04
Guatemala,23.95
Rwanda,23.75
Madagascar,23.5
Tanzania,23.49
Pakistan,23.46
Haiti,23.45
Peru,23.12
Jordan,21.41
Israel,21.39
Tunisia,21.37
Mexico,21.06
Cyprus,20.74
Uruguay,20.39
Morocco,19.96
South Africa,19.76
Lebanon,19.72
Iran,19.7
Malta,19.43
Bhutan,17.8
Argentina,16.75
Turkmenistan,16.44
Lesotho,16.42
Portugal,16.3
Albania,15.97
Greece,15.95
Spain,15.15
Italy,15.04
South Korea,14.49
Montenegro,14.31
Uzbekistan,14.3
Bosnia and Herzegovina,13.77
Croatia,13.45
Turkey,13.19
Slovenia,13.15
France,12.81
Bulgaria,12.78
Japan,12.45
Hungary,12.39
Azerbaijan,12.21
Serbia,11.97
New Zealand,11.8
Belgium,11.73
Ireland,11.38
Macedonia,11.38
Netherlands,11.3
Moldova,11.23
Chile,11.11
Luxembourg,11.01
Slovakia,10.79
United Kingdom,10.43
Czechia,10.04
Germany,9.88
Ukraine,9.71
Denmark,9.57
Poland,9.25
Austria,9.04
Switzerland,8.72
Kazakhstan,8.56
Georgia,8.34
United States,8.04
Armenia,7.56
Belarus,7.23
Lithuania,7.1
Latvia,6.38
Estonia,5.33
Kyrgyzstan,4.02
Mongolia,3.04
Tajikistan,2.7
Sweden,2.11
Iceland,0.93
Norway,0.15
Finland,-0.29
Canada,-3.57
Russia,-4.21
